,이름,형태소
1077,부드럽게,NNG
1078,연한,NNG
1079,예시,NNG
1080,5만원,NNG
1081,단계,NNG
1082,차이티,NNG
1083,조절,NNG
1084,얼음물,NNG
1085,이천햅쌀라떼,NNG
1086,파우더,NNG
1087,생각,NNG
1088,어플,NNG
1089,이력,NNG
1090,삼백,NNG
1091,많게,NNG
1092,삼만,NNG
1093,크림슈,NNG
1094,초코맛,NNG
1095,로얄비트쉬폰,NNG
1096,오천칠백,NNG
1097,현대엠포인트,NNG
1098,신용카드,NNG
1099,씨제이원카드,NNG
1100,씨제이,NNG
1101,원카드,NNG
1102,계열사,NNG
1103,실물카드,NNG
1104,국민,NNG
1105,야외,NNG
1106,타워,NNG
1107,끈적하다,NNG
1108,달은,NNG
1109,육백,NNG
1110,계정,NNG
1111,모형,NNG
1112,자색,NNG
1113,SK포인트,NNG
1114,15퍼센트,NNG
1115,적용,NNG
1116,지정,NNG
1117,티멤버십,NNG
1118,실물,NNG
1119,컴퓨터,NNG
1120,베버리지,NNG
1121,블렌딩,NNG
1122,드란티,NNG
1123,플랫치노,NNG
1124,초콜릿칩,NNG
1125,양해,NNG
1126,요거트,NNG
1127,애,NNG
1128,쿠키프라페,NNG
1129,생딸기,NNG
1130,쿠앤크마카롱,NNG
1131,딸기마카롱,NNG
1132,9시반,NNG
1133,테이크아웃컵,NNG
1134,다섯,NNG
1135,승차권,NNG
1136,10프로,NNG
1137,7700원,NNG
1138,바닐러,NNG
1139,커피콘,NNG
1140,밀가루,NNG
1141,자스민차,NNG
1142,찬,NNG
1143,1200원,NNG
1144,1시,NNG
1145,3800원,NNG
1146,해룡,NNG
1147,중국집,NNG
1148,3퍼센트,NNG
1149,5퍼센트,NNG
1150,성함,NNG
1151,#이름,NNG
1152,밑,NNG
1153,납작,NNG
1154,본점,NNG
1155,모과차,NNG
1156,뜨겁지,NNG
1157,일요일,NNG
1158,6시,NNG
1159,명절,NNG
1160,1리터,NNG
1161,1년,NNG
1162,사과,NNG
1163,주스용,NNG
1164,옆쪽,NNG
1165,바닐라시럽,NNG
1166,플랫화이트,NNG
1167,홀더,NNG
1168,솔티드캬라멜라떼,NNG
1169,짭잘한,NNG
1170,구수한,NNG
1171,달달한,NNG
1172,더치라떼,NNG
1173,우측,NNG
1174,소금커피,NNG
1175,소금크림소스,NNG
1176,짠,NNG
1177,메이플라떼,NNG
1178,메이플,NNG
1179,1월말,NNG
1180,개업,NNG
1181,6900원,NNG
1182,대만샌드위치,NNG
1183,더블에스프레소,NNG
1184,배,NNG
1185,십구곡라떼,NNG
1186,율무,NNG
1187,10년,NNG
1188,2015년도,NNG
1189,아포카토,NNG
1190,빽앤나,NNG
1191,레몬에이드,NNG
1192,티레몬에이드,NNG
1193,3900원,NNG
1194,모히토커피라떼,NNG
1195,모히토,NNG
1196,화한,NNG
1197,롯데,NNG
1198,히비스커스,NNG
1199,서울,NNG
1200,경기,NNG
1201,지역,NNG
1202,국내,NNG
1203,브랜드,NNG
1204,인삼한뿌리,NNG
1205,인삼,NNG
1206,진저에이드,NNG
1207,아린,NNG
1208,100원,NNG
1209,7800원,NNG
1210,10번째,NNG
1211,바깥쪽,NNG
1212,청포도,NNG
1213,케냐AA,NNG
1214,마운틴,NNG
1215,블루마운틴,NNG
1216,구운,NNG
1217,3천원,NNG
1218,모카치노,NNG
1219,뒤쪽,NNG
1220,급속,NNG
1221,충전기,NNG
1222,빌딩,NNG
1223,1시간,NNG
1224,주차단속,NNG
1225,저번,NNG
1226,번씩,NNG
1227,신데렐라,NNG
1228,장화홍련,NNG
1229,바리스타마스터,NNG
1230,코지코히,NNG
1231,900원,NNG
1232,밀크코히,NNG
1233,일본어,NNG
1234,코히,NNG
1235,1900원,NNG
1236,아파트,NNG
1237,주차선,NNG
1238,8시,NNG
1239,마론마키야또,NNG
1240,회원,NNG
1241,2프로,NNG
1242,3프로,NNG
1243,엘지페이,NNG
1244,민트아메리카노,NNG
1245,경성역,NNG
1246,다방커피,NNG
1247,연유커피,NNG
1248,부드라운,NNG
1249,20분,NNG
1250,쿠폰제,NNG
1251,허니버터볼,NNG
1252,브라우니,NNG
1253,비번,NNG
1254,모니터,NNG
1255,편의점,NNG
1256,그릇,NNG
1257,저녁,NNG
1258,스팀밀크,NNG
1259,스팀,NNG
1260,결제금액,NNG
1261,크루아상,NNG
1262,겉,NNG
1263,헤이즐넛라떼,NNG
1264,헤이즐넛시럽,NNG
1265,치즈케이크라떼,NNG
1266,할인쿠폰,NNG
1267,좌측,NNG
1268,정수기,NNG
1269,원두찌꺼기,NNG
1270,캐모마일,NNG
1271,숏라떼,NNG
1272,진한,NNG
1273,오리지날,NNG
1274,ONE,NNG
1275,홈페이지,NNG
1276,1000점,NNG
1277,더블그린,NNG
1278,녹차라떼,NNG
1279,공차,NNG
1280,SK,NNG
1281,비밀전호,NNG
1282,화이트모카,NNG
1283,하얀,NNG
1284,마키야또,NNG
1285,커피잔,NNG
1286,리트로콜드브루,NNG
1287,배달의,NNG
1288,민족,NNG
1289,3만원,NNG
1290,열두,NNG
1291,일곱,NNG
1292,아홉,NNG
1293,R사이즈,NNG
1294,3200원,NNG
1295,그린티,NNG
1296,녹차가루,NNG
1297,원사이즈,NNG
1298,초콜렛맛,NNG
1299,2900원,NNG
1300,콜드폼,NNG
1301,폼,NNG
1302,쵸코음료,NNG
1303,쵸코,NNG
1304,자바,NNG
1305,특징,NNG
1306,카스텔라,NNG
1307,LG유플러스,NNG
1308,내일,NNG
1309,보관,NNG
1310,냉장고,NNG
1311,베란다,NNG
1312,연해,NNG
1313,토마토,NNG
1314,냉동과일,NNG
1315,2월,NNG
1316,원유,NNG
1317,몇미리,NNG
1318,16온스,NNG
1319,모카라떼,NNG
1320,컵홀더,NNG
1321,티음료,NNG
1322,커피종류,NNG
1323,초코시럽,NNG
1324,청운신협,NNG
1325,체크카드,NNG
1326,결제.,NNG
1327,20%할인,NNG
1328,엘리베이터,NNG
1329,아포카도,NNG
1330,빅사이즈,NNG
1331,더치커피2800원,NNG
1332,테이크아웃잔할인,NNG
1333,두펌프,NNG
1334,한샷,NNG
1335,오케이캐쉬백,NNG
1336,영업시간,NNG
1337,오전10시,NNG
1338,오후10시,NNG
1339,밀크폼,NNG
1340,우유거품,NNG
1341,코코아,NNG
1342,사천원,NNG
1343,유자에이드,NNG
1344,대만,NNG
1345,실론,NNG
1346,타이거,NNG
1347,슈가,NNG
1348,호랑이,NNG
1349,무늬,NNG
1350,6개월,NNG
1351,수제,NNG
1352,누가,NNG
1353,크래커,NNG
1354,스트로우,NNG
1355,고객층,NNG
1356,쟈스민,NNG
1357,이름,NNG
1358,1분,NNG
1359,컬러,NNG
1360,색소,NNG
1361,식용,NNG
1362,이천원,NNG
1363,초코집,NNG
1364,출입구,NNG
1365,휘핑크림크림,NNG
1366,흰색,NNG
1367,뜨거워서,NNG
1368,딸기잼,NNG
1369,잼,NNG
1370,90프로,NNG
1371,계절과일,NNG
1372,100프로,NNG
1373,찐해서,NNG
1374,허브차,NNG
1375,식물,NNG
1376,레몬밤,NNG
1377,키,NNG
1378,참귤,NNG
1379,니트로,NNG
1380,냉장,NNG
1381,가스통,NNG
1382,맥주,NNG
1383,이디야,NNG
1384,실버,NNG
1385,패밀리,NNG
1386,골드,NNG
1387,상품,NNG
1388,고체,NNG
1389,액체,NNG
1390,홈플러스,NNG
1391,마트,NNG
1392,낱개,NNG
1393,쿠키치즈,NNG
1394,진하고,NNG
1395,팔백,NNG
1396,마샬라차이,NNG
1397,생강향,NNG
1398,CJ포인트,NNG
1399,삼성카드,NNG
1400,현대M,NNG
1401,L포인트,NNG
1402,롯데상품권,NNG
1403,주차.,NNG
1404,스위트,NNG
1405,팬케이크,NNG
1406,커스터드,NNG
1407,베리,NNG
1408,라즈베리,NNG
1409,콜드,NNG
1410,달작,NNG
1411,칠백,NNG
1412,고객,NNG
1413,세일,NNG
1414,에그,NNG
1415,아메키라노,NNG
1416,1층,NNG
1417,지하,NNG
1418,왼편,NNG
1419,원샷,NNG
1420,수요일,NNG
1421,블랙퍼스트,NNG
1422,아줌마,NNG
1423,여덟,NNG
1424,예약,NNG
1425,긴,NNG
1426,연유라테,NNG
1427,츄러스,NNG
1428,오천이백,NNG
1429,콘파냐,NNG
1430,프로티펀치,NNG
1431,해피,NNG
1432,살사,NNG
1433,2인용,NNG
1434,다쿠아즈케이크,NNG
1435,뭐드러갔슈,NNG
1436,슈,NNG
1437,입맛,NNG
1438,인,NNG
1439,원수,NNG
1440,스페셜티,NNG
1441,블랜디드,NNG
1442,45분,NNG
1443,제한,NNG
1444,많은,NNG
1445,많고,NNG
1446,적은,NNG
1447,평일날,NNG
1448,빈,NNG
1449,오미자차,NNG
1450,펌프,NNG
1451,스팀기,NNG
1452,휴무날,NNG
1453,전날,NNG
1454,당일,NNG
1455,휴업,NNG
1456,생아메리카노,NNG
1457,인원수,NNG
1458,보들라떼,NNG
1459,휴무,NNG
1460,연중무휴,NNG
1461,단백질,NNG
1462,부족,NNG
1463,패드,NNG
1464,백,NNG
1465,자몽티,NNG
1466,제조,NNG
1467,수면,NNG
1468,케모마일,NNG
1469,새콤한,NNG
1470,농축액,NNG
1471,로이보스,NNG
1472,크림티,NNG
1473,성향,NNG
1474,민트티,NNG
1475,순수,NNG
1476,히비스커스네,NNG
1477,머랭,NNG
1478,요커트,NNG
1479,프랜차이즈,NNG
1480,치즈빵,NNG
1481,꽈배기,NNG
1482,페스트리,NNG
1483,머스켓,NNG
1484,묶음,NNG
1485,구천,NNG
1486,아몬드,NNG
1487,아가씨,NNG
1488,모든,NNG
1489,여과지,NNG
1490,거르기,NNG
1491,아주머니,NNG
1492,오피스,NNG
1493,지역아메리카노,NNG
1494,저,NNG
1495,프레즐,NNG
1496,스틱,NNG
1497,커피콩알,NNG
1498,반죽,NNG
1499,성분,NNG
1500,우유맛,NNG
1501,오백미리,NNG
1502,섞인,NNG
1503,팔천,NNG
1504,십프로,NNG
1505,이백,NNG
1506,치즈폼,NNG
1507,딥초고,NNG
1508,치즈가루,NNG
1509,딥초코,NNG
1510,블랙티,NNG
1511,펄,NNG
1512,사백,NNG
1513,삼십,NNG
1514,멤버쉽,NNG
1515,뜨거우니,NNG
1516,그램,NNG
1517,구백,NNG
1518,용량,NNG
1519,진하기,NNG
1520,T멤버쉽,NNG
1521,연유라떼,NNG
1522,스페인,NNG
1523,밤라떼,NNG
1524,밥,NNG
1525,삶아서,NNG
1526,액기스,NNG
1527,첨가물,NNG
1528,블랙화이트,NNG
1529,3분의,NNG
1530,1,NNG
1531,홍시,NNG
1532,점심,NNG
1533,공수,NNG
1534,IPTIME,NNG
1535,개방형,NNG
1536,화이트초코,NNG
1537,작게,NNG
1538,커피토리,NNG
1539,연결,NNG
1540,후,NNG
1541,모히또,NNG
1542,탄산,NNG
1543,무알콜,NNG
1544,클랜즈,NNG
1545,착즙,NNG
1546,녹즙,NNG
1547,전,NNG
1548,품목,NNG
1549,리얼,NNG
1550,쇼콜라,NNG
1551,목,NNG
1552,시원하게,NNG
1553,적립번호,NNG
1554,아너스,NNG
1555,아너스회원증,NNG
1556,회원증,NNG
1557,서울우유,NNG
1558,체인,NNG
1559,전문업체,NNG
1560,최상급,NNG
1561,커피숍,NNG
1562,블랜딩,NNG
1563,추가비,NNG
1564,콤파냐,NNG
1565,시중,NNG
1566,농도,NNG
1567,정면,NNG
1568,과자,NNG
1569,치즈케잌,NNG
1570,소프트,NNG
1571,쉬폰,NNG
1572,CJ카드,NNG
1573,원조커피,NNG
1574,토핑,NNG
1575,티머니,NNG
1576,대자,NNG
1577,4400원,NNG
1578,진짜딸기우유,NNG
1579,탄산수,NNG
1580,방식,NNG
1581,skt할인,NNG
1582,스파클링에이드,NNG
1583,플랜클링,NNG
1584,플랜클링레몬,NNG
1585,떠먹는,NNG
1586,0.4930555556,NNG
1587,자스민,NNG
1588,고구마라떼,NNG
1589,홍차라떼,NNG
1590,초콜릿티,NNG
1591,복숭아티,NNG
1592,플레인맛,NNG
1593,어니언맛,NNG
1594,푸드코트,NNG
1595,주차권,NNG
1596,5시간,NNG
1597,벌꿀,NNG
1598,작은컵,NNG
1599,자몽주스,NNG
1600,차이점,NNG
1601,계량컵,NNG
1602,희석,NNG
1603,에그햄머핀,NNG
1604,맥도날드,NNG
1605,민트라떼,NNG
1606,민트시럽,NNG
1607,민트향,NNG
1608,냉동필라프,NNG
1609,내맘대로,NNG
1610,복지카드,NNG
1611,원플러스원,NNG
1612,커플요금제,NNG
1613,VIP고객,NNG
1614,라자냐,NNG
1615,바닐라딜라이트,NNG
1616,애플그린씨,NNG
1617,할리스,NNG
1618,공용,NNG
1619,유로드립,NNG
1620,큐브라떼,NNG
1621,얼린,NNG
1622,다콰즈,NNG
1623,레몬차,NNG
1624,레몬유자차,NNG
1625,레몬청,NNG
1626,유자청,NNG
1627,13400원,NNG
1628,진저라떼,NNG
1629,진저러떼,NNG
1630,생강청,NNG
1631,식혜,NNG
1632,작은거,NNG
1633,큰거,NNG
1634,2800원,NNG
1635,방문,NNG
1636,말린,NNG
1637,100퍼센트,NNG
1638,3개월,NNG
1639,베니스카푸치노,NNG
1640,바닐라카푸치노,NNG
1641,아그로타타마,NNG
1642,유기농,NNG
1643,사탕수수,NNG
1644,구간,NNG
1645,20원,NNG
1646,땅콩카라멜라떼,NNG
1647,땅콩,NNG
1648,브이,NNG
1649,벤티사이즈,NNG
1650,알,NNG
1651,카라멜마끼야또,NNG
1652,레귤러사이즈,NNG
1653,천오백원,NNG
1654,10잔,NNG
1655,85도,NNG
1656,인터넷판매,NNG
1657,SNS,NNG
1658,인스타,NNG
1659,페이스북,NNG
1660,몇시,NNG
1661,시나몬가루,NNG
1662,제도,NNG
1663,커피찌꺼기,NNG
1664,생과일쥬스,NNG
1665,생딸기쥬스,NNG
1666,다운로드,NNG
1667,한종류,NNG
1668,20온즈,NNG
1669,600미리,NNG
1670,7잔,NNG
1671,캔,NNG
1672,한샷반,NNG
1673,무료제공,NNG
1674,일반커피,NNG
1675,일반라떼,NNG
1676,원산지,NNG
1677,이탈리아,NNG
1678,만델리,NNG
1679,애플망고,NNG
1680,퓨레,NNG
1681,애플망고주스,NNG
1682,11시반,NNG
1683,큰컵,NNG
1684,토요일,NNG
1685,생강차,NNG
1686,차종류,NNG
1687,세가지,NNG
1688,두가지,NNG
1689,포장컵,NNG
1690,10시30분,NNG
1691,몇가지,NNG
1692,더치아메리카노,NNG
1693,뜨거운물,NNG
1694,차가운물,NNG
1695,추가요금.,NNG
1696,설,NNG
1697,그린라떼,NNG
1698,매실,NNG
1699,2만원,NNG
1700,생강분말,NNG
1701,로얄밀크티,NNG
1702,솔트치즈카페라떼,NNG
1703,라인,NNG
1704,망고주스,NNG
1705,블루베리주스,NNG
1706,아이슈페너,NNG
1707,테이크카웃,NNG
1708,한번,NNG
1709,커피원두,NNG
1710,1리터커피,NNG
1711,1리터커피아이스,NNG
1712,아메리카노테이크,NNG
1713,텀블러할인,NNG
1714,텀블러할인테이크,NNG
1715,아웃천원할인,NNG
1716,카푸치노한,NNG
1717,적립쿠폰,NNG
1718,원두로스팅분쇄,NNG
1719,분쇄,NNG
1720,12000원14000원,NNG
1721,원두한,NNG
1722,봉지몇,NNG
1723,200g,NNG
1724,카푸치노에스프레소우유우유,NNG
1725,잔라떼거품우유카푸치노거품우유,NNG
1726,더치물,NNG
1727,물미네랄미네랄물커피,NNG
1728,코웨이,NNG
1729,블랙티.홍차,NNG
1730,밀키티홍차,NNG
1731,유자레몬티,NNG
1732,유자레몬티오렌지,NNG
1733,블랙티프렌치,NNG
1734,얼그레이향,NNG
1735,에스프레소샷몇,NNG
1736,하나더블두개,NNG
1737,카드적립,NNG
1738,CJ카드적립,NNG
1739,LG카드,NNG
1740,통신사적립,NNG
1741,물한,NNG
1742,에스프레소물,NNG
1743,에스프레소물샷,NNG
1744,텀블러300원할인,NNG
1745,아웃할인,NNG
1746,아웃텀블러할인,NNG
1747,매장텀블러,NNG
1748,에스프레소콘파냐,NNG
1749,에스프레소원액에스프레소,NNG
1750,콘파냐휘핑크림,NNG
1751,원액하겐다즈,NNG
1752,아이스크림하나음식,NNG
1753,맛아메리카노달달한맛라떼바닐라라떼우유음료,NNG
1754,아파트주차,NNG
1755,사장님화장실,NNG
1756,사장님음료포장,NNG
1757,빨대하나,NNG
1758,달달한음료,NNG
1759,카파멜마끼아또스윗앤솔티,NNG
1760,라떼연유,NNG
1761,라떼스윗앤솔티,NNG
1762,커피허니,NNG
1763,커피커피허니,NNG
1764,라떼더치,NNG
1765,라떼원당시럽음료,NNG
1766,에스프레소아메리카노,NNG
1767,에스프레소커피원액아메리카노원액물음료,NNG
1768,시럽휘핑,NNG
1769,시럽휘핑추가휘핑500원금액,NNG
1770,할인카드도장쿠폰,NNG
1771,도장10개한,NNG
1772,잔3900원,NNG
1773,아메리카노샷시럽,NNG
1774,3300원,NNG
1775,커피디저트류,NNG
1776,치즈케익한,NNG
1777,핸드폰충전,NNG
1778,화장실2층,NNG
1779,종류메뉴판,NNG
1780,아메리카노헤이즐넛,NNG
1781,아메리카헤이즐넛,NNG
1782,꿀아메리카노꿀,NNG
1783,아메리카노꿀,NNG
1784,메가리카노,NNG
1785,사이즈1리터커피,NNG
1786,샷추가돈얼마추가,NNG
1787,투샷샷추가500원,NNG
1788,원두원산지,NNG
1789,원두100퍼센트아라비카산,NNG
1790,라떼당도,NNG
1791,라떼샷우유,NNG
1792,음료컵사이즈3가지,NNG
1793,따뜻음료1가지아메리카노사이즈하나,NNG
1794,따뜻아메리카노한,NNG
1795,적립핸드폰,NNG
1796,음식포장매장음료,NNG
1797,외부,NNG
1798,음식매장,NNG
1799,화장실중앙통로,NNG
1800,아침9시,NNG
1801,30분저녁9시,NNG
1802,따뜻음료,NNG
1803,커피유자티레몬티,NNG
1804,모카카라멜,NNG
1805,모카차이점,NNG
1806,모카화이트,NNG
1807,파우더카라멜,NNG
1808,유자티/컵/사이즈,NNG
1809,유자에이드사이다음료,NNG
1810,따뜻유자티한,NNG
1811,잔카드,NNG
1812,서점,NNG
1813,매장홀,NNG
1814,마끼아또카페,NNG
1815,라떼차이점,NNG
1816,마끼아또라떼카라멜,NNG
1817,시럽카페,NNG
1818,에스프레소샷원액아메리카노물음료,NNG
1819,아메리카노샷몇,NNG
1820,30cc투샷,NNG
1821,컵사이즈몇,NNG
1822,스몰레귤러라지3종류,NNG
1823,컵사이즈별가격,NNG
1824,스몰4300원사이즈500원,NNG
1825,테이크아웃잔10분일회용,NNG
1826,아메리카노사이즈한,NNG
1827,카드롯데,NNG
1828,카드할인,NNG
1829,음료포장,NNG
1830,완전,NNG
1831,피스타치오차가운음료,NNG
1832,다방커피다방,NNG
1833,원조,NNG
1834,커피다방,NNG
1835,커피한,NNG
1836,따뜻한음료,NNG
1837,우유본사베이스,NNG
1838,10번무료,NNG
1839,지점쿠폰/교환권,NNG
1840,지점,NNG
1841,햄에그치아버터크로크마담,NNG
1842,햄에그치아버터햄계란치즈크로크마담햄치즈,NNG
1843,오븐기,NNG
1844,와플시간20분,NNG
1845,기계예열20분,NNG
1846,주차확인쿠폰,NNG
1847,물티슈하나,NNG
1848,카푸치노카페,NNG
1849,거품시나몬카페,NNG
1850,모카라떼초코시럽휘핑,NNG
1851,모카휘핑,NNG
1852,쿠폰메뉴,NNG
1853,쿠폰메뉴가격,NNG
1854,쿠폰가격,NNG
1855,매장테이크,NNG
1856,카푸치노쿠폰금액결제,NNG
1857,금액저장쿠폰가격,NNG
1858,베이글오븐크림,NNG
1859,해피포인트적립,NNG
1860,컵종이컵,NNG
1861,2층종이컵,NNG
1862,커피주문,NNG
1863,전문점,NNG
1864,라떼종류,NNG
1865,라떼우유,NNG
1866,카푸치노샷우유우유,NNG
1867,거품시나몬가루,NNG
1868,모카카페,NNG
1869,라떼초코,NNG
1870,잔따뜻하게,NNG
1871,라떼고구마오븐,NNG
1872,군고구마,NNG
1873,모카텀블러,NNG
1874,가게카페,NNG
1875,모카얼마,NNG
1876,모카4500원,NNG
1877,미숫가루우유꿀,NNG
1878,카페인커피,NNG
1879,아메리카노맛,NNG
1880,아메리카노디카페인주문,NNG
1881,커피디카페인,NNG
1882,아메리카노디카페인,NNG
1883,콜드브루아메리카노,NNG
1884,콜드브루찬물커피아메리카노그라인더커피,NNG
1885,커피사이즈,NNG
1886,사이즈더치,NNG
1887,커피28500원,NNG
1888,콜드브루더치,NNG
1889,커피병,NNG
1890,라떼토피넛,NNG
1891,라떼에스프레소바닐라맛아이스크림토피넛,NNG
1892,라떼에스프레소호두땅콩,NNG
1893,커피질소커피,NNG
1894,라떼한,NNG
1895,잔따뜻,NNG
1896,따뜻바닐라,NNG
1897,잔3500원,NNG
1898,텀블러할인200원,NNG
1899,토피넛,NNG
1900,라떼회사,NNG
1901,본사,NNG
1902,공영주차장,NNG
1903,텀블러양,NNG
1904,콜드브루한,NNG
1905,라떼설탕,NNG
1906,콜드브루원액우유,NNG
1907,콜드브루커피맛,NNG
1908,공영주차장무료,NNG
1909,3년장사,NNG
1910,진열상품,NNG
1911,음료진열,NNG
1912,프라페얼마,NNG
1913,사이즈3800원사이즈3300원,NNG
1914,프랜차이즈점,NNG
1915,아메리카노한,NNG
1916,텀블러음료,NNG
1917,주차장긱가,NNG
1918,생강청우유스팀,NNG
1919,겨울생강,NNG
1920,생강청메뉴,NNG
1921,카드현금,NNG
1922,아웃얼마,NNG
1923,진저라떼꿀설탕,NNG
1924,진저라떼생강청,NNG
1925,500mL23000원,NNG
1926,쿠키2200원,NNG
1927,아메리카노따뜻한,NNG
1928,10시오픈,NNG
1929,따뜻물한,NNG
1930,따뜻물,NNG
1931,콜드브루디카페인,NNG
1932,디카페인카페인,NNG
1933,디카페인카페인절반,NNG
1934,디카페인보통,NNG
1935,디카페인커피둘,NNG
1936,아메리카노투샷,NNG
1937,타르트딸기생딸기,NNG
1938,텀블러주문제작,NNG
1939,로스터리,NNG
1940,커피커피콩,NNG
1941,커피맛,NNG
1942,잔텀블러,NNG
1943,텀블러할인3500원,NNG
1944,샷원샷,NNG
1945,영수증하나,NNG
1946,납품,NNG
1947,매장커피,NNG
1948,텀블러할인300원,NNG
1949,차어디,NNG
1950,주차장골목,NNG
1951,아보카도,NNG
1952,아보카도우유시럽연유,NNG
1953,아보카도하나,NNG
1954,아보카도4000원,NNG
1955,아웃가격,NNG
1956,십구곡라떼신제품,NNG
1957,신제품,NNG
1958,십구곡라떼19가지,NNG
1959,19가지,NNG
1960,커피차,NNG
1961,차국화차,NNG
1962,생강차설탕,NNG
1963,녹차라떼하나,NNG
1964,따뜻녹차라떼,NNG
1965,영수증잔돈,NNG
1966,반반주스,NNG
1967,건강,NNG
1968,수제차,NNG
1969,와인에이드,NNG
1970,과일와인탄산수음료,NNG
1971,주스망고,NNG
1972,주스오렌지자몽,NNG
1973,커피케냐,NNG
1974,산미한잔,NNG
1975,주차장타워상가,NNG
